id,year,category,nominee,staff,company,producer,win
927,2018, Makeup For A Limited Series Or Movie (Non-Prosthetic),The Last Tycoon,"Lana Horochowski, Department Head Makeup Artist Maurine Burke, Key Makeup Artist Lesa Nielsen Duff, Makeup Artist Melissa Buell, Makeup Artist Cyndilee Rice, Additional Makeup Artist Kelcey Fry, Additional Makeup Artist",Prime Video,"TriStar Television, Inc. and Amazon Studios",False
928,2018, Makeup For A Limited Series Or Movie (Non-Prosthetic),Twin Peaks,"Debbie Zoller, Department Head Makeup Artist Richard Redlefsen, Key Makeup Artist",Showtime,"Rancho Rosa Partnership, Inc.",False
929,2018," Prosthetic Makeup For A Series, Limited Series, Movie Or Special",American Horror Story: Cult,"Eryn Krueger Mekash, Department Head Makeup Artist Michael Mekash, Special Makeup Effects Assistant Department Head Kim Ayers, Makeup Effects Artist Silvina Knight, Makeup Effects Artist Christopher Nelson, Additional Makeup Artist Carleigh Herbert, Additional Makeup Artist Glen Eisner, Prosthetic Designer David Leroy Anderson, Prosthetic Designer",FX Networks,Twentieth Century Fox Television,False
930,2018," Prosthetic Makeup For A Series, Limited Series, Movie Or Special",The Assassination Of Gianni Versace: American Crime Story,"Eryn Krueger Mekash, Department Head Makeup Artist Michael Mekash, Special Makeup Effects Assistant Department Head Silvina Knight, Makeup Effects Artist Robin Beauchesne, Makeup Effects Artist David Leroy Anderson, Prosthetic Designer Glen Eisner, Prosthetic Designer",FX Networks,Fox 21 Television Studios and FX Productions,False
931,2018," Prosthetic Makeup For A Series, Limited Series, Movie Or Special",Game Of Thrones,"Jane Walker, Department Head Makeup Artist Paul Spateri, Special Makeup Effects Artist Emma Faulkes, Special Makeup Effects Artist Barrie Gower, Prosthetic Designer",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",True
932,2018," Prosthetic Makeup For A Series, Limited Series, Movie Or Special",Star Trek: Discovery,"Glenn Hetrick, Special Makeup Effects Department Head James Mackinnon, Special Makeup Effects Department Head Hugo Villasenor, Special Makeup Effects Artist Rocky Faulkner, Special Makeup Effects Artist Chris Bridges, Additional Makeup Effects Artist Shane Zander, Additional Makeup Effects Artist Neville Page, Prosthetic Designer Michael O'Brien, Prosthetic Designer",CBS (CBS All Access),CBS Television Studios / Secret Hideout / Roddenberry Entertainment,False
933,2018," Prosthetic Makeup For A Series, Limited Series, Movie Or Special",Westworld,"Justin Raleigh, Department Head Makeup Artist Kevin Kirkpatrick, Co-Department Head Makeup Artist Thom Floutz, Makeup Effects Artist Chris Hampton, Makeup Effects Artist Bryan Blair, Special Makeup Effects Artist Michael Ezell, Prosthetic Designer Steve Koch, Prosthetic Designer",HBO,"HBO Entertainment in association with Kilter Films, Bad Robot, Warner Bros. Television",False
934,2018, Music Composition For A Series (Original Dramatic Score),Game Of Thrones,"Ramin Djawadi, Music by",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",True
935,2018, Music Composition For A Series (Original Dramatic Score),Marvel's Jessica Jones,"Sean Callery, Music by",Netflix,Marvel Television in association with ABC Studios,False
936,2018, Music Composition For A Series (Original Dramatic Score),Once Upon A Time,"Mark Isham, Music by Cindy O'Connor, Music by Michael D. Simon, Music by",ABC,ABC Studios,False
937,2018, Music Composition For A Series (Original Dramatic Score),SEAL Team,"W.G. Snuffy Walden, Music by A. Patrick Rose, Music by",CBS,CBS Television Studios,False
938,2018, Music Composition For A Series (Original Dramatic Score),Star Wars Rebels,"Kevin Kiner, Music by",Disney XD,Lucasfilm Animation Ltd.,False
939,2018, Music Composition For A Series (Original Dramatic Score),Westworld,"Ramin Djawadi, Music by",HBO,"HBO Entertainment in association with Kilter Films, Bad Robot, Warner Bros. Television",False
940,2018," Music Composition For A Limited Series, Movie Or Special (Original Dramatic Score)",Alias Grace,"Mychael Danna, Music by Jeff Danna, Music by",Netflix,A Halfire Entertainment Production in association with CBC,False
941,2018," Music Composition For A Limited Series, Movie Or Special (Original Dramatic Score)",The Commuter (Philip K. Dick's Electric Dreams),"Harry Gregson-Williams, Music by",Prime Video,Amazon Studios and Sony Pictures Television,False
942,2018," Music Composition For A Limited Series, Movie Or Special (Original Dramatic Score)",Crazy Diamond (Philip K. Dick’s Electric Dreams),"Cristobal Tapia De Veer, Music by",Prime Video,Amazon Studios and Sony Pictures Television,False
943,2018," Music Composition For A Limited Series, Movie Or Special (Original Dramatic Score)",Godless,"Carlos Rafael Rivera, Music by",Netflix,A Netflix Original Production,False
944,2018," Music Composition For A Limited Series, Movie Or Special (Original Dramatic Score)",March Of The Penguins 2: The Next Step,"Cyrille Aufort, Music by",Hulu,"A Bonne Pioche Cinema Production, Paprika Films, Wild-Touch Production, The Walt Disney Company France, Wild Bunch, OCS, France 3",True
945,2018," Music Composition For A Limited Series, Movie Or Special (Original Dramatic Score)",USS Callister (Black Mirror),"Daniel Pemberton, Music by",Netflix,House of Tomorrow,False
946,2018, Music Direction,Bruno Mars: 24K Magic Live At The Apollo,"Bruno Mars, Music Director",CBS,Fulwell 73,False
947,2018, Music Direction,Elton John: I'm Still Standing - A Grammy Salute,"Davey Johnstone, Music Director",CBS,"AEG Ehrlich Ventures, LLC",False
948,2018, Music Direction,The Oscars,"Harold Wheeler, Music Director",ABC,The Academy of Motion Picture Arts and Sciences,False
949,2018, Music Direction,Super Bowl LII Halftime Show Starring Justin Timberlake,"Adam Wayne Blackstone, Music Director",NBC,NFL Network,False
950,2018, Music Direction,Tony Bennett: The Library Of Congress Gershwin Prize For Popular Song,"Gregg Field, Music Director",PBS,WETA and Bounce,True
951,2018, Original Music And Lyrics,Big Mouth,"Mark Rivers, Music & Lyrics by",Netflix,A Netflix Original Production,False
952,2018, Original Music And Lyrics,A Christmas Story Live!,"Benj Pasek, Music & Lyrics by Justin Paul, Music & Lyrics by",FOX,Warner Horizon Unscripted & Alternative Television in association with Marc Platt Productions,False
953,2018, Original Music And Lyrics,The Good Fight,"Jonathan Coulton, Music & Lyrics by",CBS (CBS All Access),CBS Television Studios / Scott Free Productions / King Size Productions,False
954,2018, Original Music And Lyrics,"If You're Not In The Obit, Eat Breakfast","Alan Bergman, Lyrics by Marilyn Bergman, Lyrics by Dave Grusin, Music by",HBO,HBO Documentary Films in association with Shapiro/West Productions,False
955,2018, Original Music And Lyrics,Saturday Night Live,"Chris Redd, Lyrics by Kenan Thompson, Lyrics by Will Stephen, Lyrics by Eli Brueggemann, Music by",NBC,SNL Studios in association with Universal Television and Broadway Video,True
956,2018, Original Music And Lyrics,Steve Martin & Martin Short: An Evening You Will Forget For The Rest Of Your Life,"Steve Martin, Music & Lyrics by",Netflix,Broadway Video,False
957,2018, Original Main Title Theme Music,Godless,"Carlos Rafael Rivera, Theme by",Netflix,A Netflix Original Production,True
958,2018, Original Main Title Theme Music,The Last Tycoon,"Mychael Danna, Theme by",Prime Video,"TriStar Television, Inc. and Amazon Studios",False
959,2018, Original Main Title Theme Music,Marvel's The Defenders,"John Paesano, Theme by",Netflix,Marvel Television in association with ABC Studios,False
960,2018, Original Main Title Theme Music,The Putin Interviews,"Jeff Beal, Theme by",Showtime,Showtime Documentary Films and New Element Media,False
961,2018, Original Main Title Theme Music,Somebody Feed Phil,"Mike S. Olson, Theme by Bridget Ellen Kearney, Theme by Michael Calabrese, Theme by Rachael Price, Theme by",Netflix,Zero Point Zero Productions,False
962,2018, Original Main Title Theme Music,The Tick,"Chris Bacon, Theme by",Prime Video,Amazon Studios and Sony Pictures Television,False
963,2018, Lead Actor In A Comedy Series,black-ish,"Anthony Anderson, as Andre Johnson",ABC,ABC Studios,False
964,2018, Lead Actor In A Comedy Series,The Good Place,"Ted Danson, as Michael",NBC,"Universal Television, Fremulon, 3 Arts Entertainment",False
965,2018, Lead Actor In A Comedy Series,Curb Your Enthusiasm,"Larry David, as Himself",HBO,HBO Entertainment,False
966,2018, Lead Actor In A Comedy Series,Atlanta,"Donald Glover, as Earnest Marks",FX Networks,FX Productions,False
967,2018, Lead Actor In A Comedy Series,Barry,"Bill Hader, as Barry",HBO,HBO Entertainment in association with Alec Berg and Hanarply,True
968,2018, Lead Actor In A Comedy Series,Shameless,"William H. Macy, as Frank Gallagher",Showtime,"John Wells Productions, Bonanza Productions, Inc., Warner Bros. Television",False
969,2018, Lead Actor In A Drama Series,Ozark,"Jason Bateman, as Marty Byrde",Netflix,Media Rights Capital,False
970,2018, Lead Actor In A Drama Series,This Is Us,"Sterling K. Brown, as Randall Pearson",NBC,20th Century Fox Television,False
971,2018, Lead Actor In A Drama Series,Westworld,"Ed Harris, as The Man in Black",HBO,"HBO Entertainment in association with Kilter Films, Bad Robot, Warner Bros. Television",False
972,2018, Lead Actor In A Drama Series,The Americans,"Matthew Rhys, as Philip Jennings",FX Networks,Fox 21 Television Studios and FX Productions,True
973,2018, Lead Actor In A Drama Series,This Is Us,"Milo Ventimiglia, as Jack Pearson",NBC,20th Century Fox Television,False
974,2018, Lead Actor In A Drama Series,Westworld,"Jeffrey Wright, as Bernard",HBO,"HBO Entertainment in association with Kilter Films, Bad Robot, Warner Bros. Television",False
975,2018, Supporting Actor In A Limited Series Or Movie,Godless,"Jeff Daniels, as Frank Griffin",Netflix,A Netflix Original Production,True
976,2018, Supporting Actor In A Limited Series Or Movie,Jesus Christ Superstar Live In Concert,"Brandon Victor Dixon, as Judas",NBC,"Universal Television, The Really Useful Group, Marc Platt Productions, Zadan/Meron Productions",False
