duration,avg_vote,votes,revenue_with_CPI,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published
74.0,6.9,634.0,32392300.1,5153813.0,0,0,0,0,0,0,0,0,0,3,0,0,"Comedy, Romance",English,Other,5
78.0,6.4,118.0,28434000.0,8124000.0,0,0,0,0,0,0,0,0,0,4,0,0,"Drama, Romance",English,MGM,5
105.0,6.5,119.0,17091475.4,7591278.7,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Fantasy, Musical",German,Other,7
90.0,6.7,1429.0,31941082.0,25570623.0,0,0,0,0,0,0,0,0,0,1,0,0,"Biography, Drama, Western",English,RKO,11
69.0,5.9,180.0,13761967.2,7857639.3,0,0,0,0,0,0,0,0,0,3,1,0,"Drama, Comedy",English,RKO,12
80.0,6.6,373.0,27457344.3,8190590.2,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,English,Other,7
75.0,7.8,40311.0,230446.4,8812631.1,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Horror, Sci-Fi",English,Universal,5
82.0,6.3,162.0,44393442.6,8739959.0,0,0,0,0,0,0,0,0,0,3,1,0,"Comedy, Music",English,Warner,7
53.0,5.2,927.0,68010754.1,23817082.0,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Adventure, Drama",English,Other,6
79.0,7.0,2755.0,52717.2,17757377.0,0,0,0,0,0,0,0,0,0,2,2,0,"Comedy, Drama, Romance",English,Paramount,1
84.0,6.3,556.0,21086885.2,5393803.3,0,0,0,0,0,0,0,0,0,4,1,0,Comedy,English,Warner,8
63.0,4.9,627.0,101524707.3,44388605.2,0,0,0,0,0,0,0,0,0,3,0,0,Mystery,English,MGM,12
257.0,5.5,257.0,45658655.7,17357836.1,0,0,0,0,0,0,0,0,0,1,0,0,"Action, Adventure, Crime",English,Other,5
106.0,7.1,2743.0,55336.4,13540000.0,0,0,0,0,0,0,0,0,0,5,3,0,"Comedy, Musical, Romance",English,RKO,3
89.0,5.9,122.0,18445475.4,6215082.0,0,0,0,0,0,0,0,0,0,5,1,0,"Drama, Musical, Romance",English,Warner,11
128.0,7.8,4783.0,11031770.5,14228098.4,0,0,0,0,0,0,0,0,0,4,3,1,"Drama, History, Romance",English,MGM,12
94.0,6.0,673.0,71073901.6,13517803.3,0,0,0,0,0,0,0,0,0,9,0,0,"Drama, Sci-Fi",English,Other,11
95.0,6.8,123.0,69534897.8,14785777.6,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama, Music",Spanish,Other,10
92.0,6.4,275.0,60417367.8,26188182.7,3,0,0,0,0,0,0,0,0,0,1,1,"Comedy, Musical",English,Paramount,1
74.0,5.2,106.0,7887410.5,6364607.2,0,0,0,0,0,0,0,0,0,6,1,0,"Drama, Romance, Sport",English,Other,10
82.0,7.1,2357.0,14719867.8,6349316.1,0,1,0,0,0,0,0,0,0,6,2,0,"Crime, Drama, Film-Noir",English,Warner,6
72.0,7.0,1428.0,60109788.5,26363942.3,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, Crime, Mystery",English,Twentieth Century Fox,3
92.0,7.9,10445.0,59912058.9,16411554.1,0,0,0,0,0,0,0,0,0,4,0,1,"Crime, Drama, Film-Noir",English,MGM,6
85.0,7.2,210.0,28560937.5,13269851.0,0,0,0,0,0,0,0,0,0,1,0,0,"Thriller, Horror, Mystery",German,Other,1
66.0,6.3,791.0,44357332.9,24584376.2,0,0,0,0,0,0,0,0,0,3,0,0,"Crime, Drama, Film-Noir",English,Other,12
96.0,7.0,648.0,28033658.7,18982038.5,0,0,0,0,0,0,0,0,0,1,0,0,"Drama, Romance",French,Other,1
87.0,8.5,197969.0,9781593.8,32954927.9,0,0,0,0,0,0,0,0,0,7,5,5,"Comedy, Drama, Family",English,Other,10
81.0,6.7,191.0,39545913.5,32954927.9,0,0,0,0,0,0,0,0,0,1,0,0,Comedy,French,Other,11
88.0,6.7,134.0,15031841.1,12640961.1,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, War",Russian,Other,3
131.0,6.7,202.0,115847556.5,28560937.5,0,0,0,0,0,0,0,0,0,3,0,0,Biography,Other,Other,10
73.0,6.3,101.0,57121875.0,19465377.4,0,0,0,0,0,0,0,0,0,3,0,1,"Crime, Drama, Romance",English,MGM,9
69.0,5.7,106.0,12808482.0,12610752.4,0,0,0,0,0,0,0,0,0,6,0,1,"Romance, Western",English,RKO,3
81.0,6.4,252.0,63542294.3,12708458.9,0,1,0,0,0,0,0,0,0,5,1,1,"Comedy, Mystery, Drama",English,Warner,9
103.0,7.4,233.0,33910404.4,13153254.9,0,0,0,0,0,0,0,0,0,0,0,1,"Drama, Fantasy, Sci-Fi",Other,Other,12
58.0,5.7,180.0,25416917.7,20333534.2,0,0,0,0,0,0,0,0,0,0,1,0,Comedy,English,MGM,9
101.0,6.8,1640.0,38125376.6,211807.6,0,0,0,0,0,0,0,0,0,3,1,1,"Comedy, Music, Romance",English,RKO,11
84.0,6.4,192.0,31029820.4,21922091.5,0,0,0,0,0,0,0,0,0,4,0,2,"Comedy, Romance",English,Twentieth Century Fox,9
95.0,6.7,185.0,10632743.9,3770176.1,0,0,0,0,0,0,0,0,0,0,0,0,"Crime, Drama",Other,Other,12
60.0,5.1,103.0,43568833.1,19507484.4,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Comedy, Mystery",English,Other,8
86.0,7.8,1635.0,21498476.2,12475470.5,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Japanese,Sony,8
77.0,6.9,5563.0,79745.6,38801614.9,0,3,0,0,0,0,0,0,0,2,3,0,"Drama, Fantasy, Romance",English,Other,11
79.0,6.0,183.0,33380885.3,32766643.1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,Other,Other,2
60.0,5.8,126.0,68879847.0,23298841.3,0,0,0,0,0,0,0,0,0,1,1,0,"Drama, Romance, Sport",English,RKO,10
109.0,7.5,6093.0,141106.3,20990137.9,0,0,0,0,0,0,0,0,0,12,1,0,"Comedy, Musical, Romance",English,RKO,5
