duration,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published,revenue_cluster
85.0,13269851.0,0,0,0,0,0,0,0,0,0,1,0,0,"Thriller, Horror, Mystery",German,Other,1,0
66.0,24584376.2,0,0,0,0,0,0,0,0,0,3,0,0,"Crime, Drama, Film-Noir",English,Other,12,0
96.0,18982038.5,0,0,0,0,0,0,0,0,0,1,0,0,"Drama, Romance",French,Other,1,0
87.0,32954927.9,0,0,0,0,0,0,0,0,0,7,5,5,"Comedy, Drama, Family",English,Other,10,0
81.0,32954927.9,0,0,0,0,0,0,0,0,0,1,0,0,Comedy,French,Other,11,0
88.0,12640961.1,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, War",Russian,Other,3,0
131.0,28560937.5,0,0,0,0,0,0,0,0,0,3,0,0,Biography,Other,Other,10,2
73.0,19465377.4,0,0,0,0,0,0,0,0,0,3,0,1,"Crime, Drama, Romance",English,MGM,9,2
69.0,12610752.4,0,0,0,0,0,0,0,0,0,6,0,1,"Romance, Western",English,RKO,3,0
81.0,12708458.9,0,1,0,0,0,0,0,0,0,5,1,1,"Comedy, Mystery, Drama",English,Warner,9,2
103.0,13153254.9,0,0,0,0,0,0,0,0,0,0,0,1,"Drama, Fantasy, Sci-Fi",Other,Other,12,0
58.0,20333534.2,0,0,0,0,0,0,0,0,0,0,1,0,Comedy,English,MGM,9,0
101.0,211807.6,0,0,0,0,0,0,0,0,0,3,1,1,"Comedy, Music, Romance",English,RKO,11,0
84.0,21922091.5,0,0,0,0,0,0,0,0,0,4,0,2,"Comedy, Romance",English,Twentieth Century Fox,9,0
95.0,3770176.1,0,0,0,0,0,0,0,0,0,0,0,0,"Crime, Drama",Other,Other,12,0
60.0,19507484.4,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Comedy, Mystery",English,Other,8,0
86.0,12475470.5,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Japanese,Sony,8,0
77.0,38801614.9,0,3,0,0,0,0,0,0,0,2,3,0,"Drama, Fantasy, Romance",English,Other,11,3
79.0,32766643.1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,Other,Other,2,0
